zip,city,state
18915,Moorestown Township,Pennsylvania
39702,Hattiesburg,Mississippi
33781,Deltona,Florida
36203,null,Alabama
8753,Jersey City,New Jersey
30066,Lawrenceville,Georgia
34667,Brandon,Florida
48634,Traverse City,Michigan
29376,null,South Carolina
32771,Fort Lauderdale,Florida
7104,Hamburg,New Jersey
34207,South Sanford,Florida
32534,Foley,Florida
29456,Charlotte,South Carolina
23901,Farmville,Virginia
32809,Winter Park,Florida
77373,Spring,Texas
32773,Orlando,Florida
30134,Lithia Springs,Georgia
27607,Marietta,North Carolina
32809,Winter Garden,Florida
29407,Summerville,South Carolina
30040,null,Georgia
18915,Plymouth Meeting,Pennsylvania
30341,New Albany,Georgia
28792,Candler,North Carolina
28358,Fayetteville,North Carolina
32609,Boulder,Florida
37115,Lebanon,Tennessee
29053,Summerville,South Carolina
32055,null,Florida
34471,Callahan,Florida
39702,Starkville,Mississippi
27604,Mugla,North Carolina
28412,Carolina Beach,North Carolina
22302,Clinton,Virginia
27603,Colonial Heights,North Carolina
39209,Jackson,Mississippi
39051,Marietta,Mississippi
77034,Valencia,Texas
36701,null,Alabama
34207,San Bruno,Florida
28311,Asheboro,North Carolina
39051,Jackson,Mississippi
37421,Ringgold,Tennessee
32503,Atmore,Florida
29170,null,South Carolina
16830,Clearfield,Pennsylvania
48603,Madison,Michigan
50131,Union,Iowa
38063,Olive Branch,Tennessee
30060,Secaucus,Georgia
33908,Hyannis,Florida
29566,North Myrtle Beach,South Carolina
29801,Aiken,South Carolina
30824,Campbell,Georgia
33064,Hollywood,Florida
29609,Hermitage,South Carolina
94087,Los Altos,California
22302,Manassas,Virginia
46614,null,Indiana
61053,Clinton,Illinois
39051,Carthage,Mississippi
32534,Biloxi,Florida
30035,Hartwell,Georgia
29169,Mooresville,South Carolina
37421,Krakow,Tennessee
32405,Vero Beach,Florida
36420,null,Alabama
27610,Cary,North Carolina
34787,Kissimmee,Florida
31313,null,Georgia
36606,null,Alabama
39531,New Orleans,Mississippi
31419,Springfield,Georgia
32771,Orlando,Florida
27288,Charlotte,North Carolina
30120,Acworth,Georgia
32776,Apopka,Florida
30075,Dublin,Georgia
33825,Lehigh Acres,Florida
85034,Ann Arbor,Arizona
32626,Moscow,Florida
35756,Madison,Alabama
36830,Montgomery,Alabama
30052,Greenwood,Georgia
30253,Stockbridge,Georgia
27520,Lumberton,North Carolina
27030,Rural Hall,North Carolina
72956,null,Arkansas
33709,Largo,Florida
35661,Chicago,Alabama
30223,Sarasota,Georgia
46038,Belgrade,Indiana
45373,Normal,Ohio
32609,Apopka,Florida
29170,Cupertino,South Carolina
33809,Lakeland,Florida
29730,Augusta,South Carolina
25526,Hurricane,West Virginia
32211,Jacksonville,Florida
33770,Summerfield,Florida
33770,Bardstown,Florida
18915,Collegeville,Pennsylvania
30360,Cumming,Georgia
