vin,vin_prefix,trim,body_style,cab_style
5TETU62N56Z300350,5TETU62N_6,PreRunner,Pickup,Extended Cab
1FMYU04131KB60224,1FMYU041_1,XLT,SUV,null
2G1FP32K412137182,2G1FP32K_1,Base,Convertible,null
ZFFYT53A730132884,ZFFYT53A_3,Spider,Convertible,null
5XXGM4A70EG279199,5XXGM4A7_E,LX,Sedan,null
2G1WC5E33C1296053,2G1WC5E3_C,LTZ,Sedan,null
1FTFW1CF8DFA11443,1FTFW1CF_D,,Pickup,Crew Cab
2C4RC1BG6DR682876,2C4RC1BG_D,Touring,Minivan,null
1N4AL3AP7DC203924,1N4AL3AP_D,,Sedan,null
1FAFP55S34A203127,1FAFP55S_4,SES,Sedan,null
1FTPW14V16FB24051,1FTPW14V_6,,Pickup,Crew Cab
1FMCU49H38KB33042,1FMCU49H_8,,SUV,null
2FMDK39C28BA91563,2FMDK39C_8,Limited,SUV,null
2T2HA31U55C077166,2T2HA31U_5,330,SUV,null
1ZVFT80N475215810,1ZVFT80N_7,,Coupe,null
2GCEC19V131400613,2GCEC19V_3,,Pickup,Extended Cab
1N4AL3APXDC250798,1N4AL3AP_D,S,Sedan,null
2A8GP64L96R798328,2A8GP64L_6,Limited Edition,Minivan,null
2C8GM68434R620736,2C8GM684_4,,SUV,null
1G1ZT52855F125555,1G1ZT528_5,LS,Sedan,null
2T2BK1BA5FC263321,2T2BK1BA_F,350,SUV,null
1J4FT28B19D178079,1J4FT28B_9,Sport,SUV,null
5N3AA08D08N903923,5N3AA08D_8,,SUV,null
3VWRF31Y76M332726,3VWRF31Y_6,,Convertible,null
1FTFW1EF1DFB35440,1FTFW1EF_D,Lariat,Pickup,Crew Cab
1FDKE37G6JHB05767,1FDKE37G_J,E-350,Chassis,null
5GAER237X8J218020,5GAER237_8,CXL,SUV,null
4T1BE32KX3U225853,4T1BE32K_3,LE,Sedan,null
WP0CA2982VS624666,WP0CA298_V,Base,Convertible,null
1FTSW21R29EA92938,1FTSW21R_9,King Ranch,Pickup,Crew Cab
2G1FA1E38C9166446,2G1FA1E3_C,LS,Coupe,null
3FAHP08198R102121,3FAHP081_8,SEL,Sedan,null
4T1BE46K97U662989,4T1BE46K_7,SE,Sedan,null
2CTALFEW1A6224905,2CTALFEW_A,SLT,SUV,null
5TFUU4EN6CX023926,5TFUU4EN_C,SR5,Pickup,Extended Cab
1HGCM66566A071232,1HGCM665_6,EX,Sedan,null
2FMDK49C98BA86267,2FMDK49C_8,Limited,SUV,null
2G1WB58KX69241949,2G1WB58K_6,LS,Sedan,null
JM1NC2EF7A0208657,JM1NC2EF_A,,Convertible,null
1FTPX14575NA28135,1FTPX145_5,,Pickup,Extended Cab
KL5JD86Z67K669195,KL5JD86Z_7,,Wagon,null
1VWAT7A32FC085134,1VWAT7A3_F,Wolfsburg Edition,Sedan,null
1FMRU15W82LA59647,1FMRU15W_2,XLT,SUV,null
5LMEU68H23ZJ23377,5LMEU68H_3,,SUV,null
1C4NJDBB7FD439965,1C4NJDBB_F,Sport,SUV,null
1Z7HC22KX7S108973,1Z7HC22K_7,LS,Pickup,Extended Cab
