vin_prefix,year,make,model
1J8HH48N_6,2006,Jeep,Commander
KNDJT2A6_C,2012,Kia,Soul
1GNDT13W_T,1996,Chevrolet,Blazer
JM1NB353_3,2003,Mazda,Miata
1G2MB35B_7,2007,Pontiac,Solstice
1C3CCBAB_D,2013,Chrysler,200
1G6DP577_6,2006,Cadillac,CTS
JA4JT3AW_D,2013,Mitsubishi,Outlander
2G1WG5E3_D,2013,Chevrolet,Impala
3FAHP081_7,2007,Ford,Fusion
JT8BH28F_X,1999,Lexus,LS
1HGFA168_8,2008,Honda,Civic
JN1HJ01F_N,1992,Nissan,Maxima
WBXPC934_9,2009,BMW,X3
WDDHF8JB_E,2014,Mercedes-Benz,E
1FMCU593_9,2009,Ford,Escape
3C6UD5NL_C,2012,Ram,2500
1G1YY26W_8,2008,Chevrolet,Corvette
5TFEY5F1_A,2010,Toyota,Tundra
JF2SH646_9,2009,Subaru,Forester
1C4NJPBB_G,2016,Jeep,Patriot
WBAAV534_1,2001,BMW,3 Series
1FDKE37G_J,1988,Ford,Econoline
1FABP28T_F,1985,Ford,Mustang
1C4BJWDG_C,2012,Jeep,Wrangler
3FAFP313_3,2003,Ford,Focus
JM3ER293_7,2007,Mazda,CX-7
ZAMCE39A_5,2005,Maserati,Quattroporte
WVWLK73C_7,2007,Volkswagen,Passat
1GCEK19T_4,2004,Chevrolet,Silverado 1500
1GTEC19C_7,2007,GMC,Sierra 1500
KNDJD733_4,2004,Kia,Sorento
2MEFM74W_4,2004,Mercury,Grand Marquis
2HNYD285_8,2008,Acura,MDX
1J4PP2GK_A,2010,Jeep,Liberty
1GCGC24R_W,1998,Chevrolet,C/K 2500
2GTEC19T_1,2001,GMC,Sierra 1500
1FAFP53U_4,2004,Ford,Taurus
1FTEX15N_S,1995,Ford,F-150
2G1WH52K_4,2004,Chevrolet,Impala
1G4GD5E3_C,2012,Buick,LaCrosse
1HGCM816_4,2004,Honda,Accord
JN1AZ0CP_C,2012,Nissan,Leaf
1J4FJ68S_T,1996,Jeep,Cherokee
SAJDA14C_1,2001,Jaguar,XJ
1FTCR14U_T,1996,Ford,Ranger
1G4HP54K_2,2002,Buick,LeSabre
3GNEC13T_3,2003,Chevrolet,Avalanche 1500
WBAYA8C5_E,2014,BMW,7 Series
1G1AK15F_6,2006,Chevrolet,Cobalt
1N6AD0ER_C,2012,Nissan,Frontier
1D8GP45R_7,2007,Dodge,Caravan
ZFFYT53A_3,2003,Ferrari,360
1GNEC13Z_3,2003,Chevrolet,Tahoe
3FAHP0HA_B,2011,Ford,Fusion
2C4RDGCG_F,2015,Dodge,Grand Caravan
2C3KA43R_8,2008,Chrysler,300
WAUML44E_6,2006,Audi,A8
WAUCGAFH_E,2014,Audi,S5
JTEBU14R_5,2005,Toyota,4Runner
2G61M5S3_E,2014,Cadillac,XTS
5TDZT34A_1,2001,Toyota,Sequoia
1GNDS33S_9,2009,Chevrolet,TrailBlazer
5N1ED28Y_Y,2000,Nissan,Xterra
1GNSKBE0_B,2011,Chevrolet,Tahoe
WVWBA71F_8,2008,Volkswagen,Eos
2C3CCAEG_E,2014,Chrysler,300
2B3LA53H_6,2006,Dodge,Charger
1HGEM215_4,2004,Honda,Civic
1ZVBP8CF_D,2013,Ford,Mustang
1FTNW20L_3,2003,Ford,F-250
3MZBM1V7_F,2015,Mazda,Mazda3
1GNCS18X_4,2004,Chevrolet,Blazer
JF1GJAA6_C,2012,Subaru,Impreza
5J6TF1H5_C,2012,Honda,Accord Crosstour
2FMDK3KC_B,2011,Ford,Edge
1GCCS19W_2,2002,Chevrolet,S-10
3D7KR29C_6,2006,Dodge,Ram 2500
5NPEB4AC_B,2011,Hyundai,Sonata
1LNHM87A_3,2003,Lincoln,LS
1FMEU64E_7,2007,Ford,Explorer
4S4BP61C_8,2008,Subaru,Outback
WAUDF78E_8,2008,Audi,A4
5N1ED28T_Y,2000,Nissan,Xterra
3CZRE4H5_B,2011,Honda,CR-V
1FMZU63E_Y,2000,Ford,Explorer
WBADN634_3,2003,BMW,5 Series
3VWJP7AT_D,2013,Volkswagen,Beetle
1HGCP368_8,2008,Honda,Accord
1FTWW33P_4,2004,Ford,F-350
JT8BD69S_3,2003,Lexus,GS
5J6RE385_9,2009,Honda,CR-V
WBAHL835_6,2006,BMW,7 Series
2G4GR5EK_C,2012,Buick,Regal
WDCGG8JB_E,2014,Mercedes-Benz,GLK
SALME114_4,2004,Land Rover,Range Rover
5NMSH73E_9,2009,Hyundai,Santa Fe
1N6AA07C_9,2009,Nissan,Titan
2GNFLFEK_H,2017,Chevrolet,Equinox
5TFDW5F1_A,2010,Toyota,Tundra
1GCRKSE3_B,2011,Chevrolet,Silverado 1500
JM1GJ1V5_F,2015,Mazda,Mazda6
1C4HJWEG_E,2014,Jeep,Wrangler
1ZVBP8AM_C,2012,Ford,Mustang
5J6YH183_6,2006,Honda,Element
1D3HU18Z_2,2002,Dodge,Ram 1500
2B3KA43H_8,2008,Dodge,Charger
KNAGH4A4_A,2010,Kia,Optima
4A3AA46G_3,2003,Mitsubishi,Galant
WBABW534_4,2004,BMW,3 Series
WBAVD535_8,2008,BMW,3 Series
1FMCU0J9_E,2014,Ford,Escape
2S3TD62V_4,2004,Suzuki,Vitara
1J4FA241_9,2009,Jeep,Wrangler
1FMRU15W_2,2002,Ford,Expedition
2G4GK5EX_G,2016,Buick,Regal
5TFHW5F1_A,2010,Toyota,Tundra
1D7RV1CT_B,2011,Ram,1500
1G4HP52K_V,1997,Buick,LeSabre
5N1BR18B_8,2008,Nissan,Pathfinder
1FTRF12W_6,2006,Ford,F-150
19UUA569_2,2002,Acura,TL
JTEHD20V_4,2004,Toyota,RAV4
1HGES165_4,2004,Honda,Civic
1J4GW58N_1,2001,Jeep,Grand Cherokee
5TBBV581_8,2008,Toyota,Tundra
3GTRKVEA_A,2010,GMC,Sierra 1500
1D8HD582_8,2008,Dodge,Durango
1GTHK231_2,2002,GMC,Sierra 2500HD
3GNFC160_7,2007,Chevrolet,Suburban 1500
1FMCU0GX_D,2013,Ford,Escape
2HGES165_3,2003,Honda,Civic
JTJHT00W_3,2003,Lexus,LX
3VWSC29M_Y,2000,Volkswagen,Jetta
1G3WH52K_W,1998,Oldsmobile,Intrigue
1FMCU0D7_B,2011,Ford,Escape
2CNDL73F_5,2005,Chevrolet,Equinox
3TMJU62N_8,2008,Toyota,Tacoma
1D8GT28K_8,2008,Dodge,Nitro
4S3BL616_7,2007,Subaru,Legacy
1LNHM82W_5,2005,Lincoln,Town Car
1FMEU318_7,2007,Ford,Explorer Sport Trac
1FTPW125_4,2004,Ford,F-150
1FMCU9JX_E,2014,Ford,Escape
1FT7W2BT_D,2013,Ford,F-250
1GTHK336_8,2008,GMC,Sierra 3500HD
3GNBAAFW_B,2011,Chevrolet,HHR
3GCPCREH_F,2015,Chevrolet,Silverado 1500
JTKDE3B7_A,2010,Scion,tC
1J8FT48W_8,2008,Jeep,Patriot
3VW4T7AJ_H,2017,Volkswagen,Jetta
1D7RB1CT_A,2010,Dodge,Ram 1500
1GBJP37W_B,1981,Chevrolet,P30
JN1AZ34E_4,2004,Nissan,Z
JTMZD33V_7,2007,Toyota,RAV4
1GNFK130_8,2008,Chevrolet,Tahoe
WBAYA8C5_D,2013,BMW,7 Series
3C4FY78G_3,2003,Chrysler,PT Cruiser
1FTRX148_9,2009,Ford,F-150
5NPDH4AE_F,2015,Hyundai,Elantra
2C3CDXCT_D,2013,Dodge,Charger
JTHBW1GG_E,2014,Lexus,ES
2HGFB6E5_E,2014,Honda,Civic
1GCCS299_8,2008,Chevrolet,Colorado
1GCHK23K_7,2007,Chevrolet,Silverado 2500HD
WBA6A0C5_F,2015,BMW,6 Series
2C4RC1CG_C,2012,Chrysler,Town & Country
WAUDG74F_6,2006,Audi,A6
1FTPX045_6,2006,Ford,F-150
1FTDR15X_V,1997,Ford,Ranger
4T1BF1FK_E,2014,Toyota,Camry
5FNRL386_8,2008,Honda,Odyssey
1FTRF125_4,2004,Ford,F-150
1GNKRGED_B,2011,Chevrolet,Traverse
1ZVFT82H_6,2006,Ford,Mustang
2C3CDYCJ_E,2014,Dodge,Challenger
2G1WC5EM_A,2010,Chevrolet,Impala
1N4AL3AP_G,2016,Nissan,Altima
1FMYU95H_6,2006,Ford,Escape
2G4WB55K_4,2004,Buick,Regal
JTHCH96S_6,2006,Lexus,GS
JS2RE9A3_A,2010,Suzuki,Kizashi
JH4KA966_4,2004,Acura,RL
3FAHP071_8,2008,Ford,Fusion
3FAHP06Z_7,2007,Ford,Fusion
1ZVHT82H_7,2007,Ford,Mustang
SALPV144_W,1998,Land Rover,Range Rover
WAUBF78E_6,2006,Audi,A4
2C3LA53G_7,2007,Chrysler,300
4T1BF3EK_B,2011,Toyota,Camry
1FAHP35N_8,2008,Ford,Focus
WVWFV7AJ_B,2011,Volkswagen,GTI
1FMYU02Z_5,2005,Ford,Escape
1G1YY36W_8,2008,Chevrolet,Corvette
1C6RR7NT_D,2013,Ram,1500
1HGCG165_2,2002,Honda,Accord
1FMCU9D7_C,2012,Ford,Escape
WAUAC48H_5,2005,Audi,A4
1FMCU93Z_8,2008,Ford,Escape
1MELM62W_T,1996,Mercury,Cougar
1GC1KUEG_G,2016,Chevrolet,Silverado 2500HD
2G1WT57K_9,2009,Chevrolet,Impala
5GTDN13E_7,2007,Hummer,H3
YV4CY982_7,2007,Volvo,XC90
3FADP4BJ_G,2016,Ford,Fiesta
1FTPW14V_9,2009,Ford,F-150
2GKALSEK_D,2013,GMC,Terrain
JTJJM7FX_E,2014,Lexus,GX
1FTFW1ET_D,2013,Ford,F-150
1FABP64W_H,1987,Ford,Thunderbird
WBAEV334_3,2003,BMW,3 Series
WVWFV71K_8,2008,Volkswagen,GTI
1GNKVJED_C,2012,Chevrolet,Traverse
1C3CDZAB_E,2014,Dodge,Avenger
1G1YY34U_5,2005,Chevrolet,Corvette
2GCEC19N_5,2005,Chevrolet,Silverado 1500
KMHHM66D_8,2008,Hyundai,Tiburon
1G2HX52K_4,2004,Pontiac,Bonneville
1FTYR44U_4,2004,Ford,Ranger
JM1GJ1U6_E,2014,Mazda,Mazda6
WBABW334_4,2004,BMW,3 Series
1J4PS4GK_A,2010,Jeep,Grand Cherokee
1FADP3K2_D,2013,Ford,Focus
1N6ED26T_2,2002,Nissan,Frontier
1D4GP24R_6,2006,Dodge,Grand Caravan
WA1LFAFP_D,2013,Audi,Q5
JTEZU14R_8,2008,Toyota,4Runner
1GTEK14T_Y,2000,GMC,Sierra 1500
1FTNX21P_4,2004,Ford,F-250
JH4CU266_9,2009,Acura,TSX
3GCEC13J_8,2008,Chevrolet,Silverado 1500
2G2WP522_5,2005,Pontiac,Grand Prix
3FAFP08Z_6,2006,Ford,Fusion
3GCPCSEA_B,2011,Chevrolet,Silverado 1500
3VWDF71K_6,2006,Volkswagen,Jetta
1GKEC13Z_4,2004,GMC,Yukon
1GKET16P_3,2003,GMC,Envoy
3C4PDCEG_E,2014,Dodge,Journey
5N1AA08A_5,2005,Nissan,Armada
1GC4K1C8_B,2011,Chevrolet,Silverado 3500HD
1HGCM553_3,2003,Honda,Accord
3VW1K7AJ_F,2015,Volkswagen,Jetta
3HGCM564_6,2006,Honda,Accord
2D8HN54P_8,2008,Dodge,Grand Caravan
1G6EL12Y_2,2002,Cadillac,Eldorado
1FTWW33P_6,2006,Ford,F-350
1GKS2AE0_B,2011,GMC,Yukon
JM3ER2WM_A,2010,Mazda,CX-7
5J6RE3H7_B,2011,Honda,CR-V
5J6RM4H5_E,2014,Honda,CR-V
1HGEM225_3,2003,Honda,Civic
JT3HN87R_X,1999,Toyota,4Runner
1FAHP34N_7,2007,Ford,Focus
JH4CL969_7,2007,Acura,TSX
1HGCM726_4,2004,Honda,Accord
1G1YY338_M,1991,Chevrolet,Corvette
1G6AP5SX_E,2014,Cadillac,CTS
1G6KD57Y_7,2007,Cadillac,DTS
2G1WA5EK_A,2010,Chevrolet,Impala
5NMSG13D_9,2009,Hyundai,Santa Fe
1G6DF577_9,2009,Cadillac,CTS
1J4FA49S_5,2005,Jeep,Wrangler
WBAVA375_8,2008,BMW,3 Series
3VWCS21C_1,2001,Volkswagen,New Beetle
5FNYF182_8,2008,Honda,Pilot
JT3HN87R_Y,2000,Toyota,4Runner
