year,max(mileage),min(mileage),avg(mileage)
2007,347816,0,124077.375
2003,275000,0,138559.4871794872
2005,264980,0,116814.93333333333
1996,253450,49450,140930.66666666666
2000,233912,0,123820.31578947368
1999,220000,0,98840.4
2001,217517,0,136901.38461538462
1991,208583,208583,208583
2006,202205,0,110660.66666666667
2008,197097,33371,110645.90625
2004,196429,0,118611.87878787878
2010,195879,37160,98692.19230769231
2002,188071,0,101381.21739130435
1998,186389,80330,135095
2009,179093,0,105769.8125
1994,176148,176148,176148
1995,163622,150168,156895
2012,148504,21471,75845.05
2011,144853,0,83437.33333333333
1997,138000,86491,117526.66666666667
2013,136329,0,51614.333333333336
2014,115349,4120,42695.294117647056
1987,91537,91537,91537
2015,91430,4241,32441.315789473683
1992,62030,62030,62030
2016,41022,5,19407.866666666665
1988,7000,7000,7000
1990,3500,3500,3500
2017,10,1,7
